CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2013,5,BOOK,1,"Storybook travels : from Eloise's New York to Harry Potter's London, visits to 30 of the best-loved landmarks in children's literature / Colleen Dunn Bates and Susan LaTempa."
2013,5,BOOK,1,Harry Potter and the deathly hallows / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,5,EBOOK,9,"Harry Potter and the Prisoner of Azkaban: Harry Potter Series, Book 3"
2013,5,BOOK,1,"Children's literature : a reader's history, from Aesop to Harry Potter / Seth Lerer."
2013,5,EBOOK,8,"Harry Potter and the Goblet of Fire: Harry Potter Series, Book 4"
2013,5,EBOOK,2,"Harry Potter y la piedra filosofal: Harry Potter Serie, Libro 1"
2013,5,EBOOK,1,"Harry Potter y la cÃ¡mara secreta: Harry Potter Serie, Libro 2"
2013,5,EBOOK,10,"Harry Potter and the Half-Blood Prince: Harry Potter Series, Book 6"
2013,5,EBOOK,10,"Harry Potter and the Deathly Hallows: Harry Potter Series, Book 7"
2013,5,BOOK,1,Harry Potter Narnia and The lord of the rings
2013,5,BOOK,1,Harry Potter and the half-blood prince [text (large print)] / J.K. Rowling ; illustrations by Mary GrandPre.
2013,5,BOOK,14,Harry Potter : building the magical world / written by Elizabeth Dowsett.
2013,5,BOOK,28,Harry Potter and the Order of the Phoenix / by J.K. Rowling ; illustrations by Mary GrandprÃ©.
2013,5,AUDIOBOOK,15,"Harry Potter and the Prisoner of Azkaban: Harry Potter Series, Book 3 (unabridged) (Unabridged)"
2013,5,BOOK,1,"Mapping the world of the sorcerer's apprentice : an unauthorized exploration of the Harry Potter series complete through book six / edited by Mercedes Lackey, with Leah Wilson."
2013,5,BOOK,1,"Harry Potter y la piedra filosofal / J.K. Rowling ; [traducciÃ_n, Alicia Dellepiane]."
2013,5,BOOK,32,Harry Potter and the chamber of secrets / by J.K. Rowling ; illustrations by Mary Grandpre.
2013,5,BOOK,1,"Harry Potter : page to screen, the complete filmmaking journey / [Bob McCabe]."
2013,5,BOOK,33,Harry Potter and the half-blood prince / by J.K. Rowling ; illustrations by Mary GrandPrÃ©.
2013,5,BOOK,1,Haeri PÊ»otÊ»Åè wa mabÅèpsa Å_i tol = Harry Potter and the philosopher's stone / Joaen K. Rolling chiÅ_m ; Kim Hye-wÅèn omgim.
