"","CheckoutYear","CheckoutMonth","MaterialType","Checkouts","Title","YrMon","date_full"
"109",2016,11,"BOOK",1,"Yi jiu ba si, dong wu zhuang yuan : Zhong Ying dui zhao quan yi ben / [Ying] Qiaozhi Aoweier, zhu ; Sheng shi jiao yu xi fang ming zhu fan yi wei yuan hui, yi = Nineteen Eighty-four, animal farm / George Owell.",Nov 2016,2016-11-01
"110",2016,12,"BOOK",1,"Yi jiu ba si = Nineteen eighty-four / [Ying] Qiaozhi, Aowei'er zhu ; Liu Shao-ming, yi.",Dec 2016,2016-12-01
"111",2016,12,"BOOK",1,"Yi jiu ba si, dong wu zhuang yuan : Zhong Ying dui zhao quan yi ben / [Ying] Qiaozhi Aoweier, zhu ; Sheng shi jiao yu xi fang ming zhu fan yi wei yuan hui, yi = Nineteen Eighty-four, animal farm / George Owell.",Dec 2016,2016-12-01
"112",2016,12,"BOOK",7,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Dec 2016,2016-12-01
"113",2016,12,"BOOK",15,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Dec 2016,2016-12-01
"114",2016,12,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Dec 2016,2016-12-01
"115",2017,1,"BOOK",2,"Yi jiu ba si, dong wu zhuang yuan : Zhong Ying dui zhao quan yi ben / [Ying] Qiaozhi Aoweier, zhu ; Sheng shi jiao yu xi fang ming zhu fan yi wei yuan hui, yi = Nineteen Eighty-four, animal farm / George Owell.",Jan 2017,2017-01-01
"116",2017,1,"BOOK",7,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jan 2017,2017-01-01
"117",2017,1,"BOOK",2,"Nineteen eighty-four [text (large print)] / George Orwell.",Jan 2017,2017-01-01
"118",2017,1,"BOOK",13,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jan 2017,2017-01-01
"119",2017,2,"BOOK",4,"Nineteen eighty-four : a novel / by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Feb 2017,2017-02-01
"120",2017,2,"BOOK",4,"Nineteen eighty-four : a novel / by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Feb 2017,2017-02-01
"121",2017,2,"BOOK",12,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Feb 2017,2017-02-01
"122",2017,3,"BOOK",9,"Nineteen eighty-four : a novel / by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Mar 2017,2017-03-01
"123",2017,3,"BOOK",17,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Mar 2017,2017-03-01
"124",2017,3,"BOOK",35,"Nineteen eighty-four : a novel / by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Mar 2017,2017-03-01
"125",2017,3,"BOOK",2,"Nineteen eighty-four [text (large print)] / George Orwell.",Mar 2017,2017-03-01
