UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2010,10,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2010,10,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2010,10,14,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2010,11,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2010,11,13,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2010,11,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2010,12,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2010,12,12,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2010,12,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2011,1,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2011,1,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2011,1,15,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2011,2,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
