UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2012,4,15,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2012,4,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2012,4,14,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2012,5,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2012,5,17,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2012,5,18,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2012,5,6,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2012,6,8,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2012,6,15,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2012,6,19,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2012,6,5,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2012,7,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2012,7,12,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2012,7,14,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2012,7,2,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2012,8,13,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2012,8,3,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2012,8,9,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2012,8,1,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2012,8,16,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,BOOK,2012,9,14,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,BOOK,2012,9,1,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2012,9,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2012,9,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2012,9,19,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2012,10,22,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2012,10,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2012,10,16,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2012,10,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2012,10,2,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2012,11,15,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2012,11,14,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2012,11,1,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2012,11,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2012,11,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2012,12,36,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,BOOK,2012,12,1,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2012,12,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2012,12,15,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2012,12,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2013,1,36,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2013,1,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2013,1,28,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2013,1,6,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2013,2,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2013,2,4,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2013,2,34,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2013,2,23,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2013,3,27,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2013,3,35,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2013,3,5,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2013,3,7,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2013,4,31,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2013,4,7,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2013,4,29,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2013,4,7,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2013,5,7,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2013,5,32,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2013,5,8,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2013,5,27,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,BOOK,2013,6,37,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2013,6,34,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2013,6,7,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2013,6,15,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2013,7,27,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2013,7,53,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2013,7,10,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,BOOK,2013,7,42,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2013,7,6,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2013,8,21,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,BOOK,2013,8,52,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2013,8,21,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2013,8,8,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2013,8,44,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2013,9,22,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2013,9,38,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,VIDEODISC,2013,9,192,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2013,9,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2013,9,13,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,EBOOK,2013,9,46,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2013,10,26,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2013,10,32,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,VIDEODISC,2013,10,316,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2013,10,16,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,EBOOK,2013,10,51,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2013,10,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2013,11,47,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2013,11,15,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,VIDEODISC,2013,11,309,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,BOOK,2013,11,42,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2013,11,26,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2013,11,7,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2013,12,27,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2013,12,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2013,12,41,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,VIDEODISC,2013,12,310,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,EBOOK,2013,12,54,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2013,12,11,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2014,1,5,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,AUDIOBOOK,2014,1,28,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2014,1,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,VIDEODISC,2014,1,321,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,EBOOK,2014,1,59,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2014,1,12,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,BOOK,2014,1,35,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2014,2,8,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2014,2,2,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,BOOK,2014,2,18,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2014,2,21,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,VIDEODISC,2014,2,289,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2014,2,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2014,2,54,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,VIDEODISC,2014,3,272,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,EBOOK,2014,3,58,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2014,3,18,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2014,3,9,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2014,3,31,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2014,3,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,SOUNDDISC,2014,3,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2014,4,2,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,SOUNDDISC,2014,4,7,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,EBOOK,2014,4,58,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2014,4,27,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2014,4,16,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2014,4,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,VIDEODISC,2014,4,252,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2014,5,27,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,VIDEODISC,2014,5,238,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,BOOK,2014,5,19,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2014,5,5,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
