CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title
2016,7,AUDIOBOOK,9,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2016,8,BOOK,3,In defense of food : an eater's manifesto / Michael Pollan.
2016,8,EBOOK,14,In Defense of Food: An Eater's Manifesto
2016,8,BOOK,1,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2016,8,AUDIOBOOK,8,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2016,9,EBOOK,12,In Defense of Food: An Eater's Manifesto
2016,9,BOOK,5,In defense of food : an eater's manifesto / Michael Pollan.
2016,9,AUDIOBOOK,10,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2016,9,BOOK,4,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2016,10,AUDIOBOOK,9,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2016,10,BOOK,4,In defense of food : an eater's manifesto / Michael Pollan.
2016,10,BOOK,4,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2016,10,EBOOK,10,In Defense of Food: An Eater's Manifesto
2016,11,BOOK,3,In defense of food : an eater's manifesto / Michael Pollan.
2016,11,AUDIOBOOK,6,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2016,11,EBOOK,10,In Defense of Food: An Eater's Manifesto
2016,12,EBOOK,14,In Defense of Food: An Eater's Manifesto
2016,12,AUDIOBOOK,10,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2016,12,BOOK,2,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2016,12,BOOK,2,In defense of food : an eater's manifesto / Michael Pollan.
2017,1,EBOOK,13,In Defense of Food: An Eater's Manifesto
2017,1,BOOK,7,In defense of food : an eater's manifesto / Michael Pollan.
2017,1,AUDIOBOOK,9,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2017,2,AUDIOBOOK,9,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2017,2,EBOOK,4,In Defense of Food: An Eater's Manifesto
2017,2,BOOK,3,In defense of food : an eater's manifesto / Michael Pollan.
2017,2,BOOK,3,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2017,3,AUDIOBOOK,7,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
2017,3,EBOOK,12,In Defense of Food: An Eater's Manifesto
2017,3,BOOK,3,In defense of food : an eater's manifesto / Michael Pollan.
2017,3,BOOK,1,In defense of food [text (large print)] : an eater's manifesto / Michael Pollan.
2008,1,BOOK,56,In defense of food : an eater's manifesto / Michael Pollan.
2008,1,AUDIOBOOK,1,In Defense of Food: An Eater's Manifesto (unabridged) (Unabridged)
