CheckoutYear,CheckoutMonth,MaterialType,Checkouts,Title,,,,,,,,,,,,
2013,4,BOOK,3,"Ji e you xi. 1, Ji e you xi / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games / Suzanne Collins.",,,,,,,,,,,,
2013,4,BOOK,2,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2013,4,BOOK,19,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2013,4,AUDIOBOOK,75,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,4,BOOK,3,The Hunger Games tribute guide / by Emily Seife.,,,,,,,,,,,,
2013,4,AUDIOBOOK,69,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,4,BOOK,5,"Ji e you xi. 3, Chao xiao niao / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games : Mockingjay / Suzanne Collins.",,,,,,,,,,,,
2013,4,BOOK,2,The hunger games : the official illustrated movie companion / by Kate Egan.,,,,,,,,,,,,
2013,4,EBOOK,4,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
2013,4,BOOK,1,"HÅènggÅè geim = The hunger games / Sujan K'ollinsÅ_, chiÅ_m ; Yi WÅèn-yÅèl, omgim.",,,,,,,,,,,,
2013,4,BOOK,1,The girl who was on fire : your favorite authors on Suzanne Collins' Hunger games trilogy / edited by Leah Wilson.,,,,,,,,,,,,
2013,4,BOOK,3,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2013,5,BOOK,1,"HÅènggÅè geim = The hunger games / Sujan K'ollinsÅ_, chiÅ_m ; Yi WÅèn-yÅèl, omgim.",,,,,,,,,,,,
2013,5,BOOK,1,The Hunger games A - Z / Martin Howden.,,,,,,,,,,,,
2013,5,BOOK,3,Jennifer Lawrence : the Hunger Games' girl on fire / Nadia Higgins.,,,,,,,,,,,,
2013,5,BOOK,1,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2013,5,BOOK,1,Guide to the Hunger Games / Caroline Carpenter.,,,,,,,,,,,,
2013,5,AUDIOBOOK,71,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,5,AUDIOBOOK,58,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,5,EBOOK,3,"The Unofficial Hunger Games Cookbook: From Lamb Stew to """"Groosling""""‰ÛÓMore Than 150 Recipes Inspired by the Hunger Games Trilogy",,,,,,,,,,,,
2013,5,EBOOK,5,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2013,5,BOOK,4,The Hunger Games tribute guide / by Emily Seife.,,,,,,,,,,,,
2013,5,BOOK,5,The hunger games : the official illustrated movie companion / by Kate Egan.,,,,,,,,,,,,
2013,5,EBOOK,2,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
2013,5,BOOK,2,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2013,5,AUDIOBOOK,74,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,5,BOOK,1,"Ji e you xi. 3, Chao xiao niao / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games : Mockingjay / Suzanne Collins.",,,,,,,,,,,,
2013,5,BOOK,47,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,5,BOOK,11,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2013,5,BOOK,28,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,6,AUDIOBOOK,62,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,6,BOOK,2,The Hunger games A - Z / Martin Howden.,,,,,,,,,,,,
2013,6,AUDIOBOOK,83,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,6,BOOK,1,The hunger games companion : the unauthorized guide to the series / Lois H. Gresh.,,,,,,,,,,,,
2013,6,BOOK,3,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2013,6,BOOK,9,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2013,6,BOOK,19,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2013,6,BOOK,1,The girl who was on fire : your favorite authors on Suzanne Collins' Hunger games trilogy / edited by Leah Wilson.,,,,,,,,,,,,
2013,6,EBOOK,1,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
2013,6,BOOK,50,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,6,BOOK,1,Guide to the Hunger Games / Caroline Carpenter.,,,,,,,,,,,,
2013,6,BOOK,5,The hunger games : the official illustrated movie companion / by Kate Egan.,,,,,,,,,,,,
2013,6,BOOK,1,"Ji e you xi. 1, Ji e you xi / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games / Suzanne Collins.",,,,,,,,,,,,
2013,6,BOOK,6,The Hunger Games tribute guide / by Emily Seife.,,,,,,,,,,,,
2013,6,EBOOK,11,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2013,6,BOOK,35,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,6,AUDIOBOOK,72,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,7,BOOK,5,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2013,7,BOOK,2,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2013,7,BOOK,1,Jennifer Lawrence : the Hunger Games' girl on fire / Nadia Higgins.,,,,,,,,,,,,
2013,7,BOOK,4,The Hunger Games tribute guide / by Emily Seife.,,,,,,,,,,,,
2013,7,AUDIOBOOK,88,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,7,BOOK,1,"HÅènggÅè geim = The hunger games / Sujan K'ollinsÅ_, chiÅ_m ; Yi WÅèn-yÅèl, omgim.",,,,,,,,,,,,
2013,7,BOOK,17,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2013,7,EBOOK,3,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
2013,7,BOOK,1,The hunger games companion : the unauthorized guide to the series / Lois H. Gresh.,,,,,,,,,,,,
2013,7,BOOK,5,The hunger games : the official illustrated movie companion / by Kate Egan.,,,,,,,,,,,,
2013,7,AUDIOBOOK,77,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,7,BOOK,1,Guide to the Hunger Games / Caroline Carpenter.,,,,,,,,,,,,
2013,7,BOOK,50,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,7,EBOOK,3,The Hunger Games A-Z,,,,,,,,,,,,
2013,7,BOOK,36,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,7,AUDIOBOOK,66,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,7,EBOOK,4,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2013,7,BOOK,1,"Ji e you xi. 1, Ji e you xi / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games / Suzanne Collins.",,,,,,,,,,,,
2013,8,AUDIOBOOK,79,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,8,BOOK,1,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2013,8,BOOK,5,The hunger games : the official illustrated movie companion / by Kate Egan.,,,,,,,,,,,,
2013,8,EBOOK,1,"The Unofficial Hunger Games Cookbook: From Lamb Stew to """"Groosling""""‰ÛÓMore Than 150 Recipes Inspired by the Hunger Games Trilogy",,,,,,,,,,,,
2013,8,AUDIOBOOK,89,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,8,BOOK,1,The hunger games companion : the unauthorized guide to the series / Lois H. Gresh.,,,,,,,,,,,,
2013,8,BOOK,2,Jennifer Lawrence : the Hunger Games' girl on fire / Nadia Higgins.,,,,,,,,,,,,
2013,8,BOOK,4,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2013,8,AUDIOBOOK,80,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,8,BOOK,1,"HÅènggÅè geim = The hunger games / Sujan K'ollinsÅ_, chiÅ_m ; Yi WÅèn-yÅèl, omgim.",,,,,,,,,,,,
2013,8,BOOK,13,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2013,8,BOOK,6,The Hunger Games tribute guide / by Emily Seife.,,,,,,,,,,,,
2013,8,EBOOK,8,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2013,8,EBOOK,1,The Hunger Games A-Z,,,,,,,,,,,,
2013,8,BOOK,34,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,8,BOOK,1,The Hunger games A - Z / Martin Howden.,,,,,,,,,,,,
2013,8,BOOK,2,The girl who was on fire : your favorite authors on Suzanne Collins' Hunger games trilogy / edited by Leah Wilson.,,,,,,,,,,,,
2013,8,BOOK,43,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,9,BOOK,36,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,9,EBOOK,1,"The Unofficial Hunger Games Cookbook: From Lamb Stew to """"Groosling""""‰ÛÓMore Than 150 Recipes Inspired by the Hunger Games Trilogy",,,,,,,,,,,,
2013,9,BOOK,2,"Ji e you xi. 1, Ji e you xi / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games / Suzanne Collins.",,,,,,,,,,,,
2013,9,EBOOK,3,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2013,9,BOOK,2,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2013,9,BOOK,2,The girl who was on fire : your favorite authors on Suzanne Collins' Hunger games trilogy / edited by Leah Wilson.,,,,,,,,,,,,
2013,9,BOOK,25,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,9,EBOOK,1,The Hunger Games A-Z,,,,,,,,,,,,
2013,9,BOOK,2,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2013,9,EBOOK,2,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
2013,9,BOOK,2,Guide to the Hunger Games / Caroline Carpenter.,,,,,,,,,,,,
2013,9,BOOK,6,The hunger games : the official illustrated movie companion / by Kate Egan.,,,,,,,,,,,,
2013,9,BOOK,1,The Hunger games A - Z / Martin Howden.,,,,,,,,,,,,
2013,9,AUDIOBOOK,84,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,9,BOOK,1,"Ji e you xi. 3, Chao xiao niao / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games : Mockingjay / Suzanne Collins.",,,,,,,,,,,,
2013,9,AUDIOBOOK,89,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,9,BOOK,2,The Hunger Games tribute guide / by Emily Seife.,,,,,,,,,,,,
2013,9,AUDIOBOOK,97,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,9,BOOK,14,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2013,9,BOOK,1,Jennifer Lawrence : the Hunger Games' girl on fire / Nadia Higgins.,,,,,,,,,,,,
2013,10,EBOOK,2,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
2013,10,BOOK,1,Guide to the Hunger Games / Caroline Carpenter.,,,,,,,,,,,,
2013,10,BOOK,1,"Ji e you xi. 3, Chao xiao niao / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games : Mockingjay / Suzanne Collins.",,,,,,,,,,,,
2013,10,BOOK,1,The girl who was on fire : your favorite authors on Suzanne Collins' Hunger games trilogy / edited by Leah Wilson.,,,,,,,,,,,,
2013,10,AUDIOBOOK,92,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,10,BOOK,1,The hunger games : the official illustrated movie companion / by Kate Egan.,,,,,,,,,,,,
2013,10,BOOK,36,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,10,BOOK,24,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,10,AUDIOBOOK,64,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,10,AUDIOBOOK,79,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,10,BOOK,1,The Hunger Games tribute guide / by Emily Seife.,,,,,,,,,,,,
2013,10,BOOK,15,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2013,10,EBOOK,5,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2013,10,BOOK,1,The Hunger games A - Z / Martin Howden.,,,,,,,,,,,,
2013,10,BOOK,2,"Ji e you xi. 1, Ji e you xi / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games / Suzanne Collins.",,,,,,,,,,,,
2013,10,EBOOK,2,"The Unofficial Hunger Games Cookbook: From Lamb Stew to """"Groosling""""‰ÛÓMore Than 150 Recipes Inspired by the Hunger Games Trilogy",,,,,,,,,,,,
2013,11,BOOK,33,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,11,BOOK,40,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,11,BOOK,1,"HÅènggÅè geim = The hunger games / Sujan K'ollinsÅ_, chiÅ_m ; Yi WÅèn-yÅèl, omgim.",,,,,,,,,,,,
2013,11,BOOK,1,Jennifer Lawrence : star of The hunger games / Katherine Krohn.,,,,,,,,,,,,
2013,11,BOOK,2,Jennifer Lawrence : the Hunger Games' girl on fire / Nadia Higgins.,,,,,,,,,,,,
2013,11,BOOK,5,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2013,11,AUDIOBOOK,119,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,11,BOOK,24,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2013,11,BOOK,5,The Hunger Games tribute guide / by Emily Seife.,,,,,,,,,,,,
2013,11,BOOK,2,The hunger games companion : the unauthorized guide to the series / Lois H. Gresh.,,,,,,,,,,,,
2013,11,BOOK,3,Guide to the Hunger Games / Caroline Carpenter.,,,,,,,,,,,,
2013,11,BOOK,2,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2013,11,BOOK,6,The hunger games : the official illustrated movie companion / by Kate Egan.,,,,,,,,,,,,
2013,11,EBOOK,5,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2013,11,EBOOK,5,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
2013,11,AUDIOBOOK,80,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,11,AUDIOBOOK,75,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,11,BOOK,2,The girl who was on fire : your favorite authors on Suzanne Collins' Hunger games trilogy / edited by Leah Wilson.,,,,,,,,,,,,
2013,11,BOOK,2,The Hunger games A - Z / Martin Howden.,,,,,,,,,,,,
2013,11,EBOOK,1,The Hunger Games A-Z,,,,,,,,,,,,
2013,12,EBOOK,11,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2013,12,BOOK,4,The Hunger Games tribute guide / by Emily Seife.,,,,,,,,,,,,
2013,12,BOOK,2,The girl who was on fire : your favorite authors on Suzanne Collins' Hunger games trilogy / edited by Leah Wilson.,,,,,,,,,,,,
2013,12,BOOK,29,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,12,AUDIOBOOK,66,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,12,BOOK,9,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2013,12,BOOK,2,Guide to the Hunger Games / Caroline Carpenter.,,,,,,,,,,,,
2013,12,BOOK,1,Jennifer Lawrence : star of The hunger games / Katherine Krohn.,,,,,,,,,,,,
2013,12,BOOK,2,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2013,12,BOOK,6,The hunger games : the official illustrated movie companion / by Kate Egan.,,,,,,,,,,,,
2013,12,EBOOK,2,"The Unofficial Hunger Games Cookbook: From Lamb Stew to """"Groosling""""‰ÛÓMore Than 150 Recipes Inspired by the Hunger Games Trilogy",,,,,,,,,,,,
2013,12,BOOK,2,The Hunger games A - Z / Martin Howden.,,,,,,,,,,,,
2013,12,EBOOK,3,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
2013,12,AUDIOBOOK,132,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,12,BOOK,30,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2013,12,EBOOK,3,The Hunger Games A-Z,,,,,,,,,,,,
2013,12,AUDIOBOOK,88,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,,,,,,,,,,,
2013,12,BOOK,31,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2013,12,BOOK,1,"HÅènggÅè geim = The hunger games / Sujan K'ollinsÅ_, chiÅ_m ; Yi WÅèn-yÅèl, omgim.",,,,,,,,,,,,
2014,1,BOOK,1,Jennifer Lawrence : the Hunger Games' girl on fire / Nadia Higgins.,,,,,,,,,,,,
2014,1,AUDIOBOOK,87,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,,,,,,,,,,,
2014,1,AUDIOBOOK,97,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2014,1,BOOK,27,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2014,1,BOOK,2,The hunger games : the official illustrated movie companion / by Kate Egan.,,,,,,,,,,,,
2014,1,BOOK,1,The Hunger Games tribute guide / by Emily Seife.,,,,,,,,,,,,
2014,1,BOOK,3,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2014,1,EBOOK,4,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
2014,1,EBOOK,2,"The Unofficial Hunger Games Cookbook: From Lamb Stew to """"Groosling""""‰ÛÓMore Than 150 Recipes Inspired by the Hunger Games Trilogy",,,,,,,,,,,,
2014,1,EBOOK,3,The Hunger Games A-Z,,,,,,,,,,,,
2014,1,BOOK,24,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2014,1,EBOOK,8,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2014,1,BOOK,1,"HÅènggÅè geim = The hunger games / Sujan K'ollinsÅ_, chiÅ_m ; Yi WÅèn-yÅèl, omgim.",,,,,,,,,,,,
2014,1,BOOK,1,"Ji e you xi. 1, Ji e you xi / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games / Suzanne Collins.",,,,,,,,,,,,
2014,1,AUDIOBOOK,84,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2014,1,BOOK,1,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2014,1,BOOK,34,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2014,2,AUDIOBOOK,61,"Mockingjay: The Hunger Games Series, Book 3 (unabridged) (Unabridged)",,,,,,,,,,,,
2014,2,AUDIOBOOK,81,"Catching Fire: The Hunger Games Series, Book 2 (unabridged) (Unabridged)",,,,,,,,,,,,
2014,2,BOOK,26,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2014,2,BOOK,19,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2014,2,BOOK,2,The girl who was on fire : your favorite authors on Suzanne Collins' Hunger games trilogy / edited by Leah Wilson.,,,,,,,,,,,,
2014,2,EBOOK,1,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
2014,2,EBOOK,2,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2014,2,BOOK,2,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2014,2,BOOK,1,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2014,2,BOOK,15,The Hunger Games [text (large print)] / Suzanne Collins.,,,,,,,,,,,,
2014,2,AUDIOBOOK,93,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2014,3,BOOK,3,"Ji e you xi. 1, Ji e you xi / [Mei] Sushan Kelinsi, zhu ; Geng Fang, yi = The hunger games / Suzanne Collins.",,,,,,,,,,,,
2014,3,BOOK,2,The Hunger games A - Z / Martin Howden.,,,,,,,,,,,,
2014,3,BOOK,2,"HÅènggÅè geim = The hunger games / Sujan K'ollinsÅ_, chiÅ_m ; Yi WÅèn-yÅèl, omgim.",,,,,,,,,,,,
2014,3,EBOOK,5,The Girl Who Was on Fire: Your Favorite Authors on Suzanne Collins' Hunger Games Trilogy,,,,,,,,,,,,
2014,3,AUDIOBOOK,103,"The Hunger Games: The Hunger Games Series, Book 1 (unabridged) (Unabridged)",,,,,,,,,,,,
2014,3,BOOK,7,The world of the Hunger Games / by Kate Egan.,,,,,,,,,,,,
2014,3,BOOK,4,"The unofficial Hunger Games cookbook : from lamb stew to """"groosling""""-- more than 150 recipes inspired by the Hunger Games trilogy / Emily Ansara Baines.",,,,,,,,,,,,
2014,3,BOOK,23,The hunger games / Suzanne Collins.,,,,,,,,,,,,
2014,3,BOOK,2,Jennifer Lawrence : the Hunger Games' girl on fire / Nadia Higgins.,,,,,,,,,,,,
2014,3,EBOOK,1,"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay",,,,,,,,,,,,
